Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
982192b6-6843-4011-ef46-32caaf87d8a9,2022-07-20,,999-49-3983,,,,Alice368,Gleason633,,,,black,nonhispanic,F,Omaha  Nebraska  US,406 Kohler Camp,Lincoln,Nebraska,Lancaster County,31109,68504,40.79815162129809,-96.67877314083218,5982.12,0.00,71204
2de0b259-6c63-700d-9ac4-edcabff0861a,2017-11-15,,999-17-9786,,,,Lou594,Little434,,,,white,nonhispanic,M,Omaha  Nebraska  US,974 Kunde Burg Apt 79,Omaha,Nebraska,Douglas County,31055,68114,41.28057844992899,-95.94093876060496,11371.12,0.00,86188
63873e89-efbe-2cfc-9a1b-2d297a37aed6,2010-01-17,,999-72-6579,,,,Lorine399,Hayes766,,,,native,nonhispanic,F,Chalco  Nebraska  US,211 Hansen Camp,Vieregg,Nebraska,Merrick County,,00000,41.02685838248288,-98.24021643741625,2767.58,143072.79,28145
cc5fdb8d-297d-0e33-9c5a-6206c223b79b,2013-05-28,,999-69-2035,,,,Joesph309,Leannon79,,,,white,nonhispanic,M,Newcastle  Nebraska  US,521 Halvorson Alley Unit 47,Columbus,Nebraska,Platte County,31141,68601,41.48527429240976,-97.38583374127637,1435.45,14351.34,22017
6a1b8af0-5718-5b7e-2f5e-1ff99f9dcc8d,1976-06-17,,999-75-6174,S99962701,X88720507X,Mrs.,Stephaine613,Schaden604,,Olson653,M,white,nonhispanic,F,Omaha  Nebraska  US,827 Frami Passage,Omaha,Nebraska,Douglas County,31055,68104,41.24085063755847,-95.99144161996132,206464.87,526347.86,145588
61cc48f9-6998-9d7a-84c2-fb62c045cb85,1999-08-20,,999-10-9697,S99980172,X11560506X,Ms.,Meredith572,Mraz590,,,,white,nonhispanic,F,Omaha  Nebraska  US,953 MacGyver Drive,Lincoln,Nebraska,Lancaster County,31109,68521,40.847988913473415,-96.75271794173081,170296.07,911220.81,185656
891d1d6c-7888-d953-1369-515ca099af45,2006-02-04,,999-41-2600,S99930639,,,Freddie621,Dietrich576,,,,white,nonhispanic,M,Neligh  Nebraska  US,649 Lesch Avenue,Omaha,Nebraska,Douglas County,31153,68157,41.21922359570561,-95.95940617459732,23465.86,275.72,47297
b46882a6-fa1b-2ec5-70c6-84c57a307f20,1945-06-02,1981-11-07,999-63-2068,S99960969,X79355425X,Ms.,Julee121,Ernser583,,,S,white,nonhispanic,F,Ashland  Nebraska  US,610 Brakus Trailer Unit 56,Ogallala,Nebraska,Keith County,31101,69153,41.14122712359818,-101.761281894684,43435.61,925820.55,150871
2216f688-b27d-dc7a-39b5-ba2cfefa6c37,1977-03-25,,999-53-2311,S99952681,X44046122X,Mr.,Darryl392,Klein929,,,M,black,nonhispanic,M,Papillion  Nebraska  US,809 Botsford Meadow,Omaha,Nebraska,Douglas County,31055,68154,41.253885276290646,-96.15166867633427,81264.57,3052.99,84911
92fb4bf6-64e8-dce9-b5e0-e4ef60440893,1987-01-15,,999-73-6729,S99954256,X76819188X,Mrs.,Virgina372,Herman763,,McCullough561,M,white,nonhispanic,F,Lincoln  Nebraska  US,639 Dach Wynd,Lincoln,Nebraska,Lancaster County,31109,68520,40.8669823778491,-96.7056207473304,1092786.48,445704.95,85999
